Licensee,City,State,Callsigns
Alaska Public Media,Anchorage,Alaska,"KAKM, KSKA"
Koahnic Broadcast Corporation,Anchorage,Alaska,KNBA
"SILAKKUAGVIK COMMUNICATIONS, INC.",Barrow,Alaska,"KBRW, KBRW-FM"
Bethel Broadcasting Inc,Bethel,Alaska,"KYUK, KYUK-LD, KYUK-FM, K17ME-D, KWTB, KWNQ, KUZY, KUIT, KHSK, KKWG, KRMR, KCEF"
"Gwandak Public Broadcasting, Inc.",Fort Yukon,Alaska,KZPA
BIG RIVER PUBLIC BROADCASTING CORP,Galena,Alaska,"KIYU-FM, KRBY, KNUL, KALG, KOYU, KHUS, KSYU, KTYU, KHUU, KKET, KKON"
Lynn Canal Broadcasting,Haines,Alaska,"KHNS, K220BK, "
"Kachemak Bay Broadcasting, Inc.",Homer,Alaska,KBBI
KTOO Public Media,Juneau,Alaska,"KTOO, KTOO-TV, KRNN, KXLL, KAUK"
"Rainbird Community Broadcasting, Inc.",Ketchikan,Alaska,KRBD
Kodiak Public Broadcasting Corporation,Kodiak,Alaska,"KMXT, KODK"
Kotzebue Broadcasting Inc.,Kotzebue,Alaska,"KOTZ, KINU, KUUK, KQVK, KORI, KBUQ, KDRG, KIEA, KIAN, KZNR, KZNC"
Kuskokwim Public Broadcasting Corp.,McGrath,Alaska,"KMGS, KLOP, KNKO, KGYA, KSKO-FM, KNIB, KSKC, KSKP"
Narrows Broadcasting Corporation,Petersburg,Alaska,"DDK09OU, K276BD, KFSK, K216AA, K201AL, K241AS"
"Aleutian Peninsula Broadcasting, Inc.",Sand Point,Alaska,"KSDP, KAEB, KFPS, KOLD-FM, KKQA"
Raven Radio Foundation,Sitka,Alaska,"K220BR, KCAW, K220CH, K211BY, K296CX, K211BG, K288CZ, K219BA, K221EP"
"Talkeetna Community Radio, Inc.",Talkeetna,Alaska,KTNA
Unalakleet Broadcasting Inc.,Unalakleet,Alaska,KNSA
UNALASKA COMMUNITY BROADCASTING,Unalaska,Alaska,"KUCB-LD, KUCB"
TERMINAL RADIO INCORPORATED,Valdez,Alaska,"K202BT, KCHU, K201BI, K201CH, KXGA, KXKM, K201CL, "
"CoastAlaska, Inc.",Juneau,Alaska,"KSTK, K220CV, K296FN"
Pickle Hill Public Broadcasting Inc,Kenai,Alaska,KDLL
