City,State,type,FIPS Place Code,State Code,County Code
Anchorage,Alaska,place,03000,02,
Barrow,Alaska,place,81920,02,
Bethel,Alaska,place,06520,02,
Galena,Alaska,place,27530,02,
Haines,Alaska,place,31050,02,
Homer,Alaska,place,33140,02,
Juneau,Alaska,place,36400,02,
Ketchikan,Alaska,place,38970,02,
Kodiak,Alaska,place,40950,02,
Kotzebue,Alaska,place,41830,02,
McGrath,Alaska,place,46010,02,
Petersburg,Alaska,place,60310,02,
Sand Point,Alaska,place,67020,02,
Sitka,Alaska,place,70540,02,
Talkeetna,Alaska,place,74830,02,
Unalakleet,Alaska,place,80660,02,
Unalaska,Alaska,place,80770,02,
Valdez,Alaska,place,82200,02,
Kenai,Alaska,place,38420,02,
Birmingham,Alabama,place,07000,01,
Tucson,Arizona,place,77000,04,
Chico,California,place,13014,06,
Fresno,California,place,27000,06,
Nevada City,California,place,50874,06,
Philo,California,place,56868,06,
Redway,California,place,60088,06,
Rohnert Park,California,place,62546,06,
San Francisco,California,place,67000,06,
San Luis Obispo,California,place,68154,06,
Clovis,California,place,14218,06,
Point Reyes Station,California,place,57960,06,
Alamosa,Colorado,place,01090,08,
Aspen,Colorado,place,03620,08,
Carbondale,Colorado,place,12045,08,
Boulder,Colorado,place,07850,08,
Cortez,Colorado,place,17375,08,
Crested Butte,Colorado,place,18310,08,
Centennial,Colorado,place,12815,08,
Denver,Colorado,place,20000,08,
Greeley,Colorado,place,32155,08,
Ignatio,Colorado,place,38535,08,
Paonia,Colorado,place,57300,08,
Telluride,Colorado,place,76795,08,
Fort Collins,Colorado,place,27425,08,
Colorado Springs,Colorado,place,16000,08,
Hartford,Connecticut,place,37000,09,
Sharon,Connecticut,place,67890,09,
Dover,Delaware,place,21200,10,
Jacksonville,Florida,place,35000,12,
Miami,Florida,place,45000,12,
Orlando,Florida,place,53000,12,
Tampa,Florida,place,71000,12,
Atlanta,Georgia,place,04000,13,
Honolulu,Hawaii,place,71550,15,
Des Moines,Iowa,place,21000,19,
Chicago,Illinois,place,14000,17,
Evansville,Indiana,place,22000,18,
Fort Wayne,Indiana,place,25000,18,
